name	nation
Ajax	Netherlands
Arsenal	England
AS Monaco	France
Aston Villa	England
Atlético Madrid	Spain
Barcelona	Spain
Bayer Leverkusen	Germany
Bayern Munich	Germany
Benfica	Portugal
Borussia Dortmund	Germany
Borussia Mönchengladbach	Germany
Celtic	Scotland
Chelsea	England
Club Brugge	Belgium
Eintracht Frankfurt	Germany
Feyenoord	Netherlands
Fiorentina	Italy
Hamburg	Germany
Internazionale	Italy
Juventus	Italy
Leeds United	England
Liverpool	England
Malmö FF	Sweden
Manchester United	England
Marseille	France
Milan	Italy
Nottingham Forest	England
Panathinaikos	Greece
Partizan	Yugoslavia
Porto	Portugal
PSV Eindhoven	Netherlands
Real Madrid	Spain
Red Star Belgrade	Yugoslavia
Roma	Italy
Saint-Étienne	France
Sampdoria	Italy
Stade de Reims	France
Steaua București	Romania
Valencia	Spain